Глубина манометра,Dшт,Рзаб,Pлин,Руст.1,Рлин,Туст,Тна шлейфе,Тзаб,Tлин,Дебит газа,Дебит ст. конд.,Дебит воды,Дебит смеси,Дебит кон нестабильный,Нэф,Рпл. Тек (Карноухов),Pсб,Ro_c,Удельная плотность газа ,КГФ
"3576,3","7,94","370,1","101,8",249,"101,8",53,"31,7","103,2","32,5","214,704","83,6","0,4","231,24884","131,3","56,8","52,077037037037","93,6",801,"0,669449057971014","311,9094"
"3576,3","9,53","364,6","101,3",231,"102,4","58,8","37,6",103,"38,6","290,594","104,7","1,4","309,00166","158,5","56,8","52,077037037037","92,9",801,"0,669449057971014","288,6003"
"3576,3","11,11","357,1","101,6",211,"100,6","63,6","42,8","102,6","43,4","368,042","114,3","1,9","388,11498","172,3","56,8","52,077037037037","91,4",801,"0,669449057971014","248,7906"
"3576,3","12,7","347,4","98,4",187,99,"64,7","46,2",102,"46,1","434,663","121,3","3,3","455,21452","181,5","56,8","52,077037037037","89,2",801,"0,669449057971014","223,5591"
"3576,3","14,29","337,7","99,2",169,"99,5",64,"49,4","104,4","49,9","483,283","129,8","4,6","504,58778","190,6","56,8","52,077037037037","89,7",801,"0,669449057971014","215,1486"
"3576,3","9,53","286,4","106,361668984702","199,5","106,19","57,5","38,8","102,64","38,9797121001391","251,7","76,8","0,6","268,89612",119,"56,8","52,077037037037","90,7","789,8","0,675","241,130793707915"
3667,"7,94","354,333525","102,932004048583",252,"101,565483870968",56,"43,09","105,3","32,9972753036437","234,857429149798","56,0685870445344",0,"261,281260259476","90,4","57,2","50,1","100,9",787,"0,659",188
3667,"9,53","350,2","103,186902286902",250,"103,322580645161",61,"43,09","105,2","39,060920997921","326,224449064449","73,8871580041579",0,"362,084736980708",118,"57,2","50,1","100,1",787,"0,659",178
3667,"11,11",344,"105,671498771499",240,"105,588709677419",65,"43,09","105,2","44,8965921375922","429,72285012285","92,1267248157248","1,0145827027027","476,20479691923",146,"57,2","50,1",102,787,"0,659",169
3667,"12,7","336,7","108,10006302521",228,"108,144838709678",42,"43,09","105,1","49,8398718487395","532,283025210084","109,812176470588","1,37841785714286","589,142653081022","175,5","57,2","50,1","103,8",787,"0,659",162
3579,"7,94","365,86","103,471414885777",259,"101,420322580645",52,"27,2","105,9","28,0923095062637","243,636698599853","70,7322144436256","1,1444375092115","257,635748275755","117,3","62,5724","52,077037037037","93,2","793,7","0,661",230
3579,"9,53","342,27","103,200465879265",239,"104,18",58,"34,6","105,7","35,0997335958005","313,851049868766","79,5807362204726","1,65755531496063","327,84300085164","129,7","62,5724","52,077037037037",92,"793,7","0,661",201
3579,"11,11","312,27","103,187111375819",212,103,61,"41,2","105,2","41,1138159618821","395,000595592615","85,5020559857057","2,59160005955927","410,017348223764","139,7","62,5724","52,077037037037","93,7","793,7","0,661",172
3579,"12,7","291,74","103,229928461933",194,"103,917419354839",62,"43,7","104,5","44,1431732243229","435,037301992846","86,2145769034235","3,16014767501278","449,645211467961","137,7","62,5724","52,077037037037","89,6","793,7","0,661",157
3579,"14,29","263,03","107,377559709242",166,"107,536666666667",63,"49,2","103,4","49,7538452751817","494,590861889927","88,0717871235722","3,51061765316719","509,046952774559","142,2","62,5724","52,077037037037","90,3","793,7","0,661",141
"3582,5","9,53",292,"105,507978385251",206,"105,03",56,"37,4","104,6","37,7917794221282","273,4","59,9","0,8","285,53654",94,"62,6","52,077037037037","92,1",783,"0,672",172
3653,"7,94","440,5","108,886435323383",314,"99,1673548387097",37,14,"105,42","16,2046860696517","310,780641791045","150,0747039801","1,20348435323383","337,720254639826","492,8","63,6","56,8","99,4",798,"0,654","385,415949386802"
3653,"9,53","388,7","89,6528393524285",268,"86,7471935483871",48,21,"105,32","22,0310635118307","375,366899128269","138,977372353674","0,859212092154421","398,396308939365","238,3","63,6","56,8","99,7",798,"0,654","295,502879982225"
3653,"12,7","308,8","97,8770452488688",197,"92,4579032258065",54,35,"105,22","35,4062006033182","473,779185520362","151,792126696833","0,696574479638008","496,806747714751",245,"63,6","56,8","99,2",798,"0,654","255,68112741125"
3653,"14,29","270,5","79,9527496774193",162,"81,1467741935484",52,34,"105,12","33,8257793548387","488,090219354839","143,145832258065","0,426721419354839","509,734295913678","221,2","63,6","56,8","98,9",798,"0,654","233,960444196585"
3653,"15,88","239,3","80,7329323725055",136,"79,5411290322581",51,38,"105,02","37,2622017738359","492,514301552107","137,67566518847","0,40853623059867","513,331270664834","209,7","63,6","56,8","100,8",798,"0,654","223,109460984179"
3653,"14,29","251,3","73,3066380255943",151,"72,5792580645162",50,"43,09","100,21","31,9941663619745","459,306215722121","114,878435100548","0,341010255941499","476,67617611958","172,5","63,6","56,8",97,798,"0,654","199,62761225518"
3653,"11,11","296,8","76,5720676470589",192,"76,8195161290323",50,"43,09","102,38","24,8019754901961","355,015450980392","109,274448039216","0,329124098039216","371,53807664802",164,"63,6","56,8",98,798,"0,654","245,683357487208"
3650,"7,94","458,6","91,0455451612905",333,"89,4336774193549",60,"90,3","105,6","31,1777225806451","287,950294930876","106,662689861751","0,487666170506913","306,243433908336",163,"63,6","55,2","89,6",795,"0,682179796411318","294,587295099189"
3650,"9,53","452,8","97,7879954873648",325,"98,179064516129",66,"95,5","105,49","40,511940433213","402,789178700361","143,005731046932","2,1840857400722","429,87664824639","218,9","63,6","55,2","85,5",795,"0,682179796411318","282,244409730946"
